congress_num,icpsr_id,state_code,congressional_district_num,state,party_code,name,dim1,dim2,dim1_se,dim2_se,correlation_dim1_dim2_se,log_likelihood,num_votes,num_classification_errors,geom_mean_prob
48,1432,56,0,WEST VI,100,CAMDEN J.N.,-0.553,-0.571,0.0662,0.0496,0.1602,-61.13151,199,29,0.736
48,8239,25,0,WISCONS,200,SAWYER P.,0.264,0.003,0.0819,0.0546,0.3049,-87.81576,358,41,0.782
48,1434,25,0,WISCONS,200,CAMERON A.,0.132,0.118,0.0321,0.0616,0.2171,-122.79969,367,59,0.716
49,6682,41,0,ALABAMA,100,MORGAN  J.,-0.717,-0.353,0.0449,0.046,-0.046,-104.60779,234,59,0.64
49,7644,41,0,ALABAMA,100,PUGH  J.L.,-0.583,0.002,0.0714,0.0528,-0.0016,-145.5006,383,68,0.684
49,5042,42,0,ARKANSA,100,JONES  J.K.,-0.719,0.245,0.1015,0.1089,0.1223,-114.76834,352,50,0.722
49,674,42,0,ARKANSA,100,BERRY  J.H.,-0.833,0.519,0.1049,0.1539,-0.1512,-100.81834,424,46,0.788
49,8836,71,0,CALIFOR,200,STANFORD,0.066,-0.035,0.0337,0.0764,0.3596,-78.53075,213,41,0.692
49,4266,71,0,CALIFOR,100,HEARST  G.,-0.414,-0.001,0.0642,0.0964,0.0688,-51.89861,110,23,0.624
49,10131,71,0,CALIFOR,200,WILLIAMS,0.358,0.343,0.1598,0.2007,0.1592,-31.17901,130,13,0.787
49,900,62,0,COLORAD,200,BOWEN  T.M.,0.204,0.331,0.0534,0.0769,0.2592,-58.47055,196,29,0.742
49,9246,62,0,COLORAD,200,TELLER  H.,0.154,0.188,0.0708,0.0693,0.29,-154.83572,403,68,0.681
49,7482,1,0,CONNECT,200,PLATT  O.H.,0.309,-0.99,0.0585,0.1292,-0.5135,-103.2028,341,60,0.739
49,4220,1,0,CONNECT,200,HAWLEY  J.,0.139,-0.736,0.0424,0.0618,-0.0259,-134.90244,378,71,0.7
49,8222,11,0,DELAWAR,100,SAULSBURY,-0.811,-0.372,0.0841,0.0747,0.1334,-113.24632,285,48,0.672
49,3765,11,0,DELAWAR,100,GRAY  G.,-0.663,-0.545,0.1147,0.1006,0.4795,-102.79768,327,56,0.73
49,1425,43,0,FLORIDA,100,CALL  W.,-0.549,0.014,0.0712,0.0585,0.0148,-180.69054,418,92,0.649
49,1953,44,0,GEORGIA,100,COLQUITT,-0.58,-0.193,0.0719,0.057,-0.0037,-90.34216,252,34,0.699
49,1126,44,0,GEORGIA,100,BROWN  J.E.,-0.424,-0.621,0.0753,0.0492,0.1085,-129.26797,335,68,0.68
49,2239,21,0,ILLINOI,200,CULLOM  S.,0.135,-0.154,0.0432,0.0589,-0.0071,-125.20529,392,59,0.727
49,5746,21,0,ILLINOI,200,LOGAN  J.A.,0.158,0.103,0.0778,0.0967,0.2907,-52.04376,187,23,0.757
49,3075,21,0,ILLINOI,200,FARWELL  C.,0.138,-0.278,0.0483,0.0751,0.0886,-20.1127,98,7,0.814
49,9685,22,0,INDIANA,100,VOORHEES,-0.417,0.033,0.0498,0.0573,0.0964,-76.62421,230,33,0.717
